time,a_xy,EMA a_xy
0.001726,0.17154993442143893,0.17154993442143893
0.026919,0.18145261089331285,0.17203299181031081
0.035387,0.22853632096452414,0.1747892517690529
0.044573,0.2722770647704283,0.1795447548422907
0.053811,0.19353686987238375,0.1802272970388806
0.058908,0.07937663384145235,0.1753077524926646
0.069685,0.07516009579557492,0.17042250094646508
0.079264,0.10484812826178634,0.16722375105940757
0.088693,0.11299601762894124,0.16457849577011652
0.097764,0.11385780605650189,0.16210431578408654
0.112263,0.15755284827637994,0.16188229297883255
0.115661,0.14475586343910216,0.16104685739152863
0.122991,0.1435232385364823,0.16019204671567272
0.133381,0.18206817404477915,0.16125917487806815
0.16426,0.14764325247027038,0.1605949835411024
0.176115,0.1198099328102641,0.15860546887130542
0.194041,0.1613525332927872,0.1587394720138167
0.197801,0.17273138105162014,0.15942200416200222
0.208052,0.14135579224071435,0.1585407255316955
0.216821,0.12458715824674707,0.15688445395681996
0.228546,0.11315887062002696,0.15475149867209834
0.23757,0.16451431548652537,0.15522773363865575
0.247275,0.16893762162407758,0.15589650866233487
0.256509,0.15897402303521163,0.1560466313146703
0.264422,0.15721533004131627,0.15610364100865304
0.274571,0.15708714142156896,0.15615161663855134
0.292623,0.10371581364478612,0.15359377259007498
0.309545,0.10156559456823949,0.1510558126865708
0.311331,0.11485072920970071,0.14928971105355274
0.327322,0.18576248275687962,0.15106887064883695
0.331044,0.18971233486518474,0.15295391768378075
0.33989,0.13233268681622087,0.15194800398292416
0.349895,0.11428814461701617,0.15011093767239206
0.358635,0.11605188494806967,0.14844952046632753
0.368122,0.13468994023311465,0.14777832143056105
0.38525,0.17145626264444236,0.1489333429531894
0.387099,0.1877778474687576,0.1508281968319976
0.40259,0.19275860551477333,0.15287358262140127
0.406502,0.17935445352708698,0.15416533242167862
0.416192,0.19319733435014055,0.15606933251574992
0.425259,0.22269515037377893,0.15931937241126354
0.434679,0.22187061544963543,0.1623706525594768
0.450583,0.2178932077876683,0.16507906988768126
0.4684,0.3766165158354052,0.17539796969000926
0.472188,0.5413887050908986,0.1932511762949307
0.485892,0.8368720631016427,0.2246473171147703
0.491547,1.0149341752054661,0.2631978955582189
0.50065,0.9687310565889792,0.2976141473158169
0.510262,0.8152917085313698,0.3228667112775512
0.526066,0.6221756182943848,0.3374671457661772
0.529159,0.4823952839736309,0.34453681104458955
0.543669,0.3955564435071182,0.3470255736037373
0.547875,0.3893269320250013,0.34908905450233557
0.561252,0.4019540769789504,0.3516678360865607
0.567331,0.327278627472067,0.3504781185931708
0.57704,0.17675352896052743,0.34200374836718817
0.592096,0.12987455485967989,0.33165598283023656
0.595523,0.12893292829994982,0.3217670533409543
0.609479,0.1782611567335969,0.314766765701571
0.6167,0.24019002893542438,0.3111288761032224
0.627247,0.2868632078186396,0.3099451849673891
0.636536,0.46647689117468616,0.3175808779531109
0.645979,0.9443617156577241,0.34815555296309203
0.655101,1.9043590128964654,0.42406791686228096
0.664307,2.0844021924762988,0.5050598327458915
0.680266,0.1841178970116702,0.48940412856373433
0.690076,0.34440632979084457,0.4823310652089592
0.699993,0.4894073354578985,0.48267624912354157
0.708843,0.4519211546276629,0.48117600061154747
0.718214,1.3666581174529349,0.5243702502135663
0.736313,1.9040762931143278,0.5916729840136035
0.73703,1.4994126350007861,0.635952966988588
0.754323,0.5602942441253524,0.6322622975806254
0.756231,0.28399001743019064,0.61527340586597
0.766099,0.545598212973613,0.6118746159687819
0.775187,0.7201725140547923,0.6171574402656604
0.784568,0.6935093438447676,0.6208819233670803
0.803417,1.2303058684733648,0.650609920689338
0.81916,1.3131423152118737,0.6829285740806811
0.827465,0.47225842501748977,0.6726519814434523
0.837032,0.24674849543614244,0.6518762016382177
0.84666,0.3247212034961684,0.6359174212410444
0.856152,0.7201898430275173,0.6400282710842871
0.865528,0.855972178286187,0.6505621202160871
0.87494,1.2606848059685656,0.6803242024479152
0.884475,1.5129361024180763,0.720939417080606
0.893706,1.4986059688924238,0.758874370827524
0.903179,0.9808876082406179,0.769704284847675
0.912413,0.21019481439845275,0.7424111399477128
0.921849,0.8350259037898166,0.7469289333058642
0.931349,1.0091567420376282,0.7597205337318039
0.940618,0.901777056705259,0.7666501202183139
0.950419,0.8991024913768174,0.7731112114943385
0.954822,1.8541231485529754,0.8258435011069549
0.96666,2.704480212536228,0.9174843162986267
0.983287,4.3957772338916365,1.0871571415470662
0.992651,4.89172023934321,1.272745585342
1.002228,7.601229701831145,1.581452127609763
1.018887,9.703099604250179,1.9776300532995394
1.021141,11.194520842805199,2.427234482055913
1.031863,11.469443320405746,2.868317840024197
1.041727,9.657699111589675,3.1995071703444644
1.049703,7.25366006509817,3.397270726186109
1.059059,5.686641519385586,3.5089473502446196
1.068513,4.415178036047924,3.5531537251618537
1.078913,3.8769585463350005,3.568949082292251
1.092986,4.921842925165329,3.634943903895816
1.104673,6.266171096451165,3.7632964498741255
1.106076,8.911330416946733,4.014420058024008
1.11584,12.927315454107246,4.4491954431988
1.125135,16.74141019448481,5.048815674968849
1.134503,20.258027674233244,5.790728455420771
1.153347,20.951316228103664,6.530269322380912
1.166132,17.276893381045102,7.0544948862181895
1.177688,12.076641510784363,7.299477648392149
1.18183,8.631732648779154,7.364465697191515
1.191562,7.797670560494333,7.385597641742872
1.202114,5.893180392623324,7.312796800322406
1.21061,4.123357254713688,7.157214383463444
1.219901,2.631176316783047,6.936432038747326
1.232593,5.943378272497889,6.887990391613207
1.241853,12.245686498110263,7.149341421198429
1.251503,16.853470012433643,7.622713547600147
1.257767,20.346407612401755,8.2433815507612
1.267327,22.196570038634345,8.92402489163306
1.27629,21.643087914620686,9.544466990315383
1.285834,19.71726899243402,10.040701234321169
1.295397,15.254623640719558,10.295038912682065
1.312817,12.294087078347866,10.39255345734869
1.314306,9.435523097846774,10.345869049568108
1.325317,8.212771759278349,10.241815523212509
1.342649,4.0372796744837975,9.939155237908668
1.352138,5.303348753382149,9.713018336224447
1.361986,10.939963881567435,9.772869338436301
1.378636,17.99981848936261,10.174183931164414
1.380438,23.58129784384227,10.828189487880406
1.39102,24.517003636252124,11.495936519508295
1.400463,21.63628254691642,11.990587545235519
1.410191,17.565680681658765,12.262543307987873
1.419065,13.957658091528105,12.345231834014225
1.428313,12.584996502581953,12.356927671505334
1.437227,11.788036988404812,12.32917690647604
1.453344,9.463567442566253,12.189391078968246
1.456161,6.291835422195975,11.901705437174476
1.466094,5.686213652334917,11.598510715962789
1.476535,11.47658711028675,11.592563223002982
1.484653,15.89000551195625,11.802194554171432
1.50387,18.977156845270578,12.152192714712854
1.516586,16.740480370945154,12.376011624772966
1.529441,13.855465478286899,12.448180105432183
1.532205,11.24529485829518,12.389502776303548
1.543166,9.168082556347319,12.232360326549584
1.561293,7.61396711642492,12.007072852884965
1.561724,6.9485172727712206,11.760314044098928
1.570392,6.566470613655405,11.50695582797973
1.585086,5.967201800676762,11.236723924208853
1.589158,4.873526546557431,10.926324052128296
1.600047,2.729797226901661,10.526493475287971
1.6102,0.8449128771654507,10.05422125098931
1.61769,1.2985309622800683,9.627114407637638
1.626507,3.1377633897411705,9.310560699447565
1.636146,6.222761049566342,9.159936326282628
1.645592,10.43583364087412,9.222175219677334
1.662233,13.77000896223383,9.444020768094724
1.664332,15.657734345044943,9.747128747458149
1.675319,15.99781245670795,10.05204014790936
1.686145,15.41302619215318,10.313551662262716
1.702446,12.355588203723851,10.413163200870576
1.711644,9.494927420470363,10.36837121158276
1.728204,5.982297562809793,10.154416399447493
1.731659,3.3981725265206886,9.824843527597404
1.741998,4.688327883158345,9.574281788844278
1.751324,8.179902916294301,9.506263307256475
1.760737,10.918786549795724,9.575166880063268
1.769153,12.278652119023489,9.707044208793034
1.777865,13.69228967338918,9.901446426578211
1.787495,14.470461358229047,10.124325203731908
1.804826,14.109386565333024,10.318718440883181
1.8063,13.367893861038842,10.467458705281018
1.817112,12.43701407412567,10.563534576931977
1.827215,11.985633125121092,10.63290523781925
1.834963,11.66728780137012,10.68336292384612
1.844438,10.82884569517915,10.69045964439895
1.863182,9.159911137669404,10.615798741631655
1.875286,8.145240785268413,10.495283719370033
1.887242,7.6808716256685345,10.357995324555326
1.892352,7.4157328869101,10.214470327597022
1.901312,7.443966105511228,10.079323780178202
1.911266,8.926504234581419,10.023088680392993
1.920307,10.803014336748793,10.061133834361568
1.92932,14.091791491857945,10.257751281068707
1.946485,18.4234553634762,10.65607830947883
1.948211,24.112186175666444,11.312473815146518
1.959544,27.741729216831455,12.113900907911637
1.969511,24.933654077170477,12.739254721046214
1.977475,17.98587235832613,12.995187288718405
1.986064,12.405006359127754,12.966397975079836
1.995728,10.390405859253043,12.840739823088285
2.005019,8.5668217350427,12.63225601391533
2.022867,6.412231008003377,12.328840159968404
2.037346,4.565967131944776,11.950163426894079
2.042873,5.239860613604145,11.62283158234335
2.052992,8.001518262179998,11.446182152091477
2.062136,11.3653500218867,11.44223912134978
2.072083,14.867597762247943,11.609329786759446
2.088412,16.99997651910143,11.872288163946859
2.090123,17.59397525290973,12.15139485121334
2.101011,17.59442813080323,12.416908669729919
2.110917,16.681911049097465,12.624957566284433
2.118786,14.274845172190135,12.705439888523735
2.13502,12.420764809382714,12.691553299297343
2.140874,11.03317639893426,12.61065686513329
2.152058,9.34186789994378,12.451203744880143
2.16323,7.86650555011563,12.227559930501386
2.165846,7.177011392634123,11.981191709142006
2.179041,7.149389152228323,11.7454940234389
2.185046,7.863330235975086,11.556120180147982
2.19419,10.75210499065183,11.516899927001827
2.206989,17.346810912960343,11.801285828755901
2.223227,28.70840809135888,12.626023500102386
2.235436,30.699303932988446,13.507646935852925
2.241782,27.310811475311382,14.180972035338703
2.252005,21.45301282454285,14.535705732373051
2.262854,15.19863692078997,14.568043839125096
2.270434,10.33132154373292,14.361374458862063
2.27942,6.350485613714907,13.970599393245127
2.288738,5.732390605148955,13.568735549923362
2.298419,8.885683750843263,13.340293998748722
2.309792,11.402119809930081,13.245748916367326
2.319925,13.64628370363155,13.265287198672898
2.327058,13.71104131895167,13.287031302101129
2.33607,12.601705416331555,13.253600771087978
2.345722,12.250832737818275,13.204685257269944
2.355296,11.202954003743834,13.107039830268668
2.370901,10.109727227279675,12.960829459391155
2.374816,9.465858100035094,12.790343051617688
2.384794,9.402975350919515,12.625105602803142
2.394899,9.600688325844141,12.47757305270758
2.412194,10.048592504923265,12.359086196718101
2.421326,9.585206719732236,12.22377500271879
2.43083,9.446769734676504,12.08831133110697
2.450317,8.793318599937114,11.927579978366976
2.450389,7.863283580031945,11.729321617472586
2.460447,8.432300005336623,11.568491294929368
2.46968,10.30484426519877,11.506849976405924
2.478404,15.690709039747055,11.710940662422564
2.487657,22.435399345008324,12.234084988402358
2.497076,25.981834916725955,12.90470693612546
2.506553,27.32515972249751,13.608143657411901
2.523848,24.171216942884776,14.123415524995943
2.525518,17.91228764535675,14.308238555257445
2.537636,12.00216194275015,14.195747013183917
2.555125,7.267701507354301,13.857793573875155
2.555407,2.954413816647898,13.325921390595775
2.573269,12.054326178596629,13.26389235586411
2.586622,14.416879149802153,13.32013561410499
2.591635,14.495315969650335,13.377461485107201
2.602488,12.296359282730805,13.324724792308352
2.614288,9.26299615567231,13.126591688082204
2.62009,7.856960715823899,12.86953651870375
2.629469,8.170412012254952,12.64031093302332
2.639065,7.79425860746229,12.40391813665449
2.648474,7.184095503958727,12.149292642376647
2.666342,5.279360712245375,11.814174011638535
2.667291,5.303358378423996,11.496573249042703
2.677383,7.547258295566676,11.303923739117042
2.687025,10.507226898187742,11.265060478583907
2.696087,8.617476684041565,11.13591004958184
2.705659,9.757873584444512,11.068688758599531
2.715368,8.140327380394476,10.925841862101723
2.733019,6.6821045345010885,10.718830285145593
2.744633,6.415310736823276,10.5089025023006
2.754795,4.0574903499577175,10.194199470478997
2.762529,1.485193919998328,9.769369931431159
2.771655,1.5866943152352946,9.370215023324045
2.781281,2.8559773966192377,9.052447334216492
2.790242,3.4794278049702365,8.780592723033747
2.807663,2.9177328493198273,8.494599558462335
2.80921,1.4905466279187647,8.152938439899234
2.819461,0.903931617988883,7.799328351025558
2.829102,1.709756573316798,7.502276069186106
2.838285,3.014787768649727,7.283374200867258
2.847419,3.950003706327375,7.120770762109215
2.856753,4.014856940166113,6.969262770794916
2.872406,3.711807534072854,6.8103625153450595
2.875924,2.9454654131393223,6.621830949383804
2.886001,2.0313356418868844,6.3979043490181
2.896369,1.373744845304251,6.152823397617425
2.904262,1.1178641464865038,5.907215629269575
2.922798,1.1778615410989528,5.676515429846617
2.932225,1.165477314236532,5.456464790060759
2.94701,1.0706797934023038,5.242524058516444
2.951204,0.746145220449746,5.02318850544002
2.961053,0.5722663191207394,4.8060703500098105
2.971258,0.6059387180235308,4.601185880156821
2.980137,0.8221176375677631,4.416841087835404
2.989197,0.7786280562630659,4.239367281417241
2.998421,0.9329039232418309,4.078076385896489
3.015612,1.1424357881299063,3.9348744055176317
3.01727,0.9786617904056538,3.790668912097535
3.027999,1.4628072326865218,3.677114683833583
3.037358,1.2970598829660873,3.5610144496449245
3.070142,1.5006407831323259,3.4605084171321145
